"lat","lon","n2o","clay","silt","sand","bd","soc","noc","ph","croptype","Pwin_before","Pspr_before","Psum_before","Paut_before","Pwin","Pspr","Psum","Paut","Twin_before","Tspr_before","Tsum_before","Taut_before","Twin","Tspr","Tsum","Taut","ferttype","fertN","NO3","NH4"
54.088699,12.14,1.4226735395023,7,23,70,1.5,0.9,0.08,6.5,2,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,125,62.5,62.5
54.088699,12.14,1.21037184369102,7,23,70,1.5,0.9,0.08,6.5,2,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,45,22.5,22.5
54.088699,12.14,1.72162713733259,7,23,70,1.5,0.9,0.08,6.5,2,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,160,40,40
54.088699,12.14,1.51953940389843,7,23,70,1.5,0.9,0.08,6.5,2,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,80,40,40
54.088699,12.14,0.940212741883453,7,23,70,1.5,0.9,0.08,6.5,0,123,194.5,88.400002,112.5,139.100006,189.199997,128.300003,207.100006,-4.376667,6.686667,18.873333,9.923333,-1.3,6.003333,17.200001,8.773333,8,0,13,13
48.139999,11.57,1.64195006014190,22,55,23,1.3,1.43,0.13,6.1,2,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,222,90,22.5,22.5
48.139999,11.57,1.90709202714499,22,55,23,1.3,1.43,0.13,6.1,2,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,222,180,45,45
48.139999,11.57,1.15801554393713,22,55,23,1.3,1.43,0.13,6.1,1,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,8,65,32.5,32.5
48.139999,11.57,1.5511286213593,22,55,23,1.3,1.43,0.13,6.1,1,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,8,130,65,65
48.139999,11.57,2.38746727726266,22,55,23,1.3,1.43,0.13,6.1,1,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,222,50,12.5,12.5
48.139999,11.57,2.62678510731274,22,55,23,1.3,1.43,0.13,6.1,1,366.600006,450.600006,378.200012,237.800003,184.5,467.600006,561.700012,297.700012,0.73,8.036667,18.540001,9.956667,-1.88,6.213333,16.813334,8.453333,222,150,37.5,37.5
51.450001,1.25,1.09544511501033,65,20,15,0.8,3.7,9999,6.7,2,204.300003,97,64,264,226.399994,175.800003,24.799999,140.5,6.08,8.103333,15.65,13.25,6.153333,7.69,15.58,12.766667,26,70,35,35
51.450001,1.25,1.18321595661992,65,20,15,0.8,3.7,9999,6.7,2,204.300003,97,64,264,226.399994,175.800003,24.799999,140.5,6.08,8.103333,15.65,13.25,6.153333,7.69,15.58,12.766667,26,70,35,35
44.5,11.02,1.76153342290176,45,45,10,1.33,1.2,0.165,7.6,1,131.600006,176.5,45.400002,186.300003,136.800003,101.900002,67.800003,100.5,3.373333,10.766667,24.603333,11.616667,3.736667,11.903333,25.34,13.92,18,225,0,0
44.5,11.02,2.11825399798985,45,45,10,1.33,1.2,0.165,7.6,1,131.600006,176.5,45.400002,186.300003,136.800003,101.900002,67.800003,100.5,3.373333,10.766667,24.603333,11.616667,3.736667,11.903333,25.34,13.92,44,450,0,0
44.5,11.02,1.77510563065976,45,45,10,1.33,1.2,0.165,7.6,1,131.600006,176.5,45.400002,186.300003,136.800003,101.900002,67.800003,100.5,3.373333,10.766667,24.603333,11.616667,3.736667,11.903333,25.34,13.92,10,225,0,0
44.5,11.02,1.26055543313255,45,45,10,1.33,1.2,0.165,7.6,1,131.600006,176.5,45.400002,186.300003,136.800003,101.900002,67.800003,100.5,3.373333,10.766667,24.603333,11.616667,3.736667,11.903333,25.34,13.92,99,0,0,0
52.23,-0.025,1.13837647551239,45,29,26,1.27,2.9,0.29,7.7,2,201.399994,285.700012,217.5,240,206.600006,198.800003,231.399994,164.600006,4.326667,9.573333,15.936667,9.9,4.39,9.743333,17.4,11.336667,26,190,95,95
52.259998,0.57,1.05788704501000,14,66,20,1.56,1.176471,0.1,7.7,2,185.600006,282.899994,247.5,222.5,194.199997,212,200.800003,158.199997,4.256667,9.316667,15.79,9.806667,4.39,9.653333,17.313334,11.546667,26,132,66,66
53.220001,-1.11,1.58505268051254,8,17,75,1.4,1.2,0.1,5.7,1,214.899994,296.899994,272,238.899994,203.899994,238.100006,193.100006,174.199997,3.83,8.736667,14.693333,9.206667,3.753333,8.89,16.606667,10.72,26,290,145,145
47.459999,4.95,0.273861278752583,50,38,12,1,0.8,0.071429,7.9,0,408.399994,293.600006,121.300003,249,251.800003,270.299988,131.5,197.100006,4.213333,9.783333,21.393333,11.7,1.563333,8.866667,20.266666,11.34,99,0,0,0
47.459999,4.95,0.96850400102426,50,38,12,1,0.8,0.071429,7.9,3,408.399994,293.600006,121.300003,249,251.800003,270.299988,131.5,197.100006,4.213333,9.783333,21.393333,11.7,1.563333,8.866667,20.266666,11.34,222,162,37.259998,50.220001
47.459999,4.95,1.41527382509534,50,38,12,1,0.8,0.071429,7.9,3,408.399994,293.600006,121.300003,249,251.800003,270.299988,131.5,197.100006,4.213333,9.783333,21.393333,11.7,1.563333,8.866667,20.266666,11.34,222,262,60.259998,81.220001
47.16,5.18,0.565685424949238,30,40,30,1.5,3.1,0.335135,6,0,466.5,301.600006,138.899994,316.200012,284.399994,335.5,164.600006,250,4.526667,10.4,22.203333,12.163333,2.066667,9.39,20.866667,11.79,99,0,0,0
47.25,4.9,1.88148877222268,21,44,35,1.5,3.1,0.335135,6,3,433.5,292.5,125.199997,294,285.700012,301.399994,147.699997,232.399994,4.413333,10.13,21.873333,11.98,1.94,9.173333,20.629999,11.6,222,142,32.66,44.02
47.25,4.9,2.42342732509147,21,44,35,1.5,0.86,0.09,6,3,433.5,292.5,125.199997,294,285.700012,301.399994,147.699997,232.399994,4.413333,10.13,21.873333,11.98,1.94,9.173333,20.629999,11.6,222,237,54.509998,73.470001
51.41,4.99,0.938616002420585,2.9,11.4,85.699997,1.48,2.14,0.135,5.4,1,184.699997,148.399994,127.800003,207.5,205.600006,185.399994,182.100006,135.899994,0.443333,7.483333,17.76,10.183333,4.236667,9.68,18.936666,10.773333,44,267,72,72
51.25,3.5,1.34647688431699,17,57.400002,25.6,1.39,0.48,0.045,6.5,2,178.100006,127.099998,109,221.399994,211.199997,148.399994,146.399994,167.100006,1.273333,7.516667,17.376667,10.713333,4.74,9.836667,18.540001,11.5,19,204,75,75
51.279999,3.63,0.61400325732035,16.5,23.5,60,1.33,0.91,0.1,7.6,2,186.600006,112.800003,103.800003,250.5,224.300003,139.899994,123.5,179.199997,1.663333,7.453333,17.049999,11.093333,5.2,9.713333,18.35,11.82,19,75,36.5,36.5
50,7.09,0.636396103067893,22,70,8,1.31,0.9,0.12,7,2,243.399994,212.399994,172.899994,129.600006,239.600006,266.100006,138,237.399994,1.75,9.443333,18.43,10.336667,2.05,9.336667,18.049999,10.803333,99,0,0,0
50,7.09,0.94233751915118,22,70,8,1.31,0.9,0.12,7,2,243.399994,212.399994,172.899994,129.600006,239.600006,266.100006,138,237.399994,1.75,9.443333,18.43,10.336667,2.05,9.336667,18.049999,10.803333,19,80,0,0
50,7.09,0.796241169495775,22,70,8,1.31,0.9,0.12,7,2,243.399994,212.399994,172.899994,129.600006,239.600006,266.100006,138,237.399994,1.75,9.443333,18.43,10.336667,2.05,9.336667,18.049999,10.803333,9,80,20,20
52.200001,0.4,0.978774744259372,15,28,57,9999,2.529412,9999,8.2,2,157.199997,120.900002,214.399994,130.5,188.699997,279.5,239.699997,222.800003,5.09,10.166667,17.450001,10.913333,4.296667,9.516667,15.976667,9.863333,8,150,75,75
52.200001,0.4,1.09726933794762,15,28,57,9999,2.529412,9999,8.2,4,157.199997,120.900002,214.399994,130.5,188.699997,279.5,239.699997,222.800003,5.09,10.166667,17.450001,10.913333,4.296667,9.516667,15.976667,9.863333,8,120,60,60
52.200001,0.4,1.46594679303173,15,28,57,9999,2.529412,9999,8.2,1,157.199997,120.900002,214.399994,130.5,188.699997,279.5,239.699997,222.800003,5.09,10.166667,17.450001,10.913333,4.296667,9.516667,15.976667,9.863333,8,120,60,60
52.200001,0.4,0.68629439747094,18,25,57,9999,2.176471,9999,8,2,188.699997,279.5,239.699997,222.800003,198.800003,200.5,217,151.699997,4.296667,9.516667,15.976667,9.863333,4.39,9.77,17.453333,11.463333,8,150,75,75
52.200001,0.4,0.779743547584717,18,25,57,9999,2.176471,9999,8,4,188.699997,279.5,239.699997,222.800003,198.800003,200.5,217,151.699997,4.296667,9.516667,15.976667,9.863333,4.39,9.77,17.453333,11.463333,8,120,60,60
52.200001,0.4,0.845576726264388,18,25,57,9999,2.176471,9999,8,1,188.699997,279.5,239.699997,222.800003,198.800003,200.5,217,151.699997,4.296667,9.516667,15.976667,9.863333,4.39,9.77,17.453333,11.463333,8,120,60,60
54.32,10.14,2.30217288664427,3.7,12.7,83.599998,1.3,1.3,0.13,6.4,2,228.199997,189.300003,127.099998,166.5,256.799988,186.699997,279,174.800003,0.916667,8.43,19.673332,8.983333,0.843333,9.286667,15.226667,6.88,22,79,11,11
54.32,10.14,1.44913767461894,3,12.5,84.5,1.3,1.2,0.1,5.4,2,228.199997,189.300003,127.099998,166.5,256.799988,186.699997,279,174.800003,0.916667,8.43,19.673332,8.983333,0.843333,9.286667,15.226667,6.88,44,319,40.5,68.5
51.029999,9.06,1.14455231422596,36.599998,3,60.400002,9999,1.6,0.18,7.5,2,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,55,27.5,27.5
51.029999,9.06,0.959166304662544,36.599998,3,60.400002,9999,1.6,0.18,7.5,2,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,65,32.5,32.5
51.029999,9.06,0.728010988928052,36.599998,3,60.400002,9999,1.6,0.18,7.5,2,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,87,43.5,43.5
51.029999,9.06,0.768114574786861,36.599998,3,60.400002,9999,1.6,0.18,7.5,2,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,92,46,46
51.029999,9.06,1.09087121146357,36.599998,3,60.400002,9999,1.6,0.18,7.5,2,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,110,55,55
51.029999,9.06,1.09087121146357,36.599998,3,60.400002,9999,1.6,0.18,7.5,2,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,160,80,80
51.029999,9.06,0.754983443527075,36.599998,3,60.400002,9999,1.6,0.18,7.5,2,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,175,87.5,87.5
51.029999,9.06,0.806225774829855,36.599998,3,60.400002,9999,1.6,0.18,7.5,2,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,185,92.5,92.5
51.029999,9.06,1.34164078649987,36.599998,3,60.400002,9999,1.6,0.18,7.5,3,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,66,33,33
51.029999,9.06,1.11803398874989,36.599998,3,60.400002,9999,1.6,0.18,7.5,3,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,91,45.5,45.5
51.029999,9.06,1.20830459735946,36.599998,3,60.400002,9999,1.6,0.18,7.5,3,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,133,66.5,66.5
51.029999,9.06,1.30766968306220,36.599998,3,60.400002,9999,1.6,0.18,7.5,3,310.5,243.600006,184.100006,196.300003,117.699997,189.899994,188.899994,212.300003,1.536667,7.903333,18.666668,9.47,-4.063333,6.886667,17.726667,9.103333,8,182,91,91
